egg_id,hatch_date,status
F116_10,01/04/2025,killed
F112_9,01/04/2025,killed
F56_1,01/04/2025,dead
F114_20,04/04/2025,killed
F114_5,04/04/2025,killed
F116_2,09/04/2025,killed
F116_4,04/04/2025,killed
F117_13,04/04/2025,killed
F21_14,01/04/2025,dead
F74_19,01/04/2025,killed
F117_18,11/04/2025,killed
F117_2,04/04/2025,killed
F118_13,04/04/2025,killed
F37_10,01/04/2025,dead
F17_14,01/04/2025,dead
F44_3,01/04/2025,dead
F118_15,04/04/2025,killed
F121_11,07/04/2025,killed
F21_4,01/04/2025,killed
F123_11,09/04/2025,killed
F112_13,01/04/2025,killed
F123_12,07/04/2025,killed
F48_11,02/04/2025,killed
F157_20,02/04/2025,killed
F107_1,02/04/2025,killed
F135_19,02/04/2025,killed
F135_2,02/04/2025,killed
F148_14,02/04/2025,killed
F145_13,02/04/2025,killed
F158_20,02/04/2025,killed
F145_5,02/04/2025,killed
F176_11,02/04/2025,missing
F160_2,02/04/2025,killed
F157_12,02/04/2025,dead
F135_5,02/04/2025,killed
F107_7,02/04/2025,killed
F145_4,02/04/2025,killed
F159_2,02/04/2025,killed
F39_11,02/04/2025,killed
F180_3,02/04/2025,killed
F159_10,02/04/2025,dead
F140_13,02/04/2025,killed
F81_7,02/04/2025,killed
F96_1,02/04/2025,killed
F107_11,02/04/2025,killed
F112_15,02/04/2025,dead
F117_14,02/04/2025,killed
F96_4,02/04/2025,killed
F96_11,02/04/2025,killed
F86_18,02/04/2025,dead
F86_8,02/04/2025,dead
F17_15,02/04/2025,killed
F21_7,02/04/2025,killed
F17_13,02/04/2025,killed
F15_7,02/04/2025,dead
F103_16,02/04/2025,killed
F103_18,02/04/2025,killed
F112_8,02/04/2025,killed
F27_4,02/04/2025,killed
F124_13,02/04/2025,killed
F103_6,NA,missing
F124_8,NA,missing
F56_10,02/04/2025,dead
F68_15,02/04/2025,killed
F50_16,02/04/2025,killed
F56_2,02/04/2025,dead
F49_5,02/04/2025,killed
F48_10,02/04/2025,killed
F51_20,02/04/2025,killed
F52_15,02/04/2025,killed
F124_16,02/04/2025,killed
F50_19,02/04/2025,killed
F44_2,02/04/2025,killed
F52_5,02/04/2025,dead
F52_20,02/04/2025,killed
F124_3,02/04/2025,killed
F43_19,02/04/2025,killed
F144_5,02/04/2025,killed
F39_7,02/04/2025,killed
F118_11,02/04/2025,killed
F117_9,02/04/2025,killed
F123_14,02/04/2025,killed
F10_5,02/04/2025,killed
F144_10,02/04/2025,killed
F138_12,02/04/2025,killed
F117_7,02/04/2025,killed
F144_8,02/04/2025,killed
F70_3,02/04/2025,killed
F25_14,02/04/2025,dead
F38_18,NA,missing
F123_2,10/04/2025,killed
F135_8,06/04/2025,killed
F15_1,03/04/2025,killed
F101_10,07/04/2025,killed
F117_4,03/04/2025,killed
F144_7,03/04/2025,killed
F101_12,07/04/2025,killed
F17_7,03/04/2025,killed
F116_7,03/04/2025,killed
F73_1,03/04/2025,killed
F1_16,03/04/2025,killed
F37_16,03/04/2025,killed
F73_7,03/04/2025,dead
F95_9,03/04/2025,killed
F144_4,03/04/2025,killed
F51_6,03/04/2025,killed
F50_17,03/04/2025,killed
F48_12,03/04/2025,killed
F46_6,03/04/2025,killed
F139_14,03/04/2025,killed
F133_9,03/04/2025,killed
F133_4,03/04/2025,dead
F101_13,07/04/2025,killed
F123_5,11/04/2025,killed
F153_10,03/04/2025,killed
F138_6,03/04/2025,killed
F74_9,03/04/2025,killed
F101_16,07/04/2025,killed
F123_6,10/04/2025,killed
F148_2,03/04/2025,killed
F43_16,03/04/2025,killed
F164_8,03/04/2025,killed
F101_19,05/04/2025,killed
F49_20,03/04/2025,killed
F43_11,03/04/2025,killed
F73_12,03/04/2025,killed
F50_12,03/04/2025,dead
F101_7,05/04/2025,killed
F101_8,05/04/2025,killed
F114_13,03/04/2025,killed
F103_12,05/04/2025,killed
F114_16,03/04/2025,killed
